Film_title,Release_year,Director,Genres,Owner_rating,Average_rating,Runtime,Countries,Original_Language,Spoken_Languages,Watches,List_Appearances,Likes,Cast,Studios,Letterboxd URL
The Racket,1928,Lewis Milestone,"['Crime', 'Drama']",nan,3.2,84,['USA'],English,"['English', 'No spoken language']",1610,2585,172,"['Thomas Meighan', 'Louis Wolheim', 'Marie Prevost', 'G. Pat Collins', 'Henry Sedley', 'George E. Stone', 'Sam De Grasse', ""Richard 'Skeets' Gallagher"", 'John Darrow', 'Lucien Prival', 'Dan Wolheim', ""William H. O'Brien""]","['The Caddo Company', 'Paramount']",https://letterboxd.com//film/the-racket/
7th Heaven,1927,Frank Borzage,"['Drama', 'Romance']",nan,3.75,110,['USA'],English,"['English', 'No spoken language']",5852,7948,1349,"['Janet Gaynor', 'Charles Farrell', 'Albert Gran', 'David Butler', 'Marie Mosquini', 'Gladys Brockwell', 'Émile Chautard', 'Ben Bard', 'George E. Stone', 'Jessie Haslett', 'Brandon Hurst', 'Lillian West', 'Mary Borzage', 'Lewis Borzage Sr.', 'Sue Borzage', 'Dolly Borzage', 'Henry Armetta']",['Fox Film Corporation'],https://letterboxd.com//film/7th-heaven/
Wings,1927,William A. Wellman,"['War', 'Drama', 'Action', 'Romance']",4.5,3.73,144,['USA'],English,"['English', 'No spoken language']",18689,16777,4119,"['Clara Bow', 'Charles Rogers', 'Richard Arlen', 'Jobyna Ralston', 'El Brendel', 'Richard Tucker', 'Gary Cooper', 'Gunboat Smith', 'Roscoe Karns', 'Julia Swayne Gordon', 'Henry B. Walthall', 'Arlette Marchal', 'Nigel De Brulier', 'Hedda Hopper', 'George Irving', 'William A. Wellman']",['Paramount Famous Lasky Corporation'],https://letterboxd.com//film/wings/
Alibi,1929,Roland West,"['Crime', 'Action', 'Thriller']",nan,2.96,91,['USA'],English,['English'],845,2218,71,"['Chester Morris', 'Harry Stubbs', 'Mae Busch', 'Eleanor Griffith', 'Regis Toomey', 'Purnell Pratt', 'Irma Harrison', 'Al Hill', 'James Bradbury Jr.', 'Elmer Ballard', 'Kernan Cripps', ""Pat O'Malley"", 'DeWitt Jennings', 'Ed Brady', 'Virginia Flohri', 'Edward Jardon', 'Diana Beaumont', 'Edgar Caldwell']",['Feature Productions'],https://letterboxd.com//film/alibi-1929/
The Broadway Melody,1929,Harry Beaumont,"['Music', 'Romance', 'Drama']",3.5,2.42,101,['USA'],English,['English'],8498,10220,444,"['Charles King', 'Anita Page', 'Bessie Love', 'Betty Arthur', 'J. Emmett Beck', 'Nacio Herb Brown', 'James Burrows', 'Eddie Bush', 'Ray Cooke', 'Drew Demorest', 'Edward Dillon', 'Mary Doran', 'Arthur Freed', 'Paul Gibbons', 'James Gleason', 'Eddie Kane', 'Ches Kirkpatrick', 'Carla Laemmle', 'Eddie Lang', 'Carl M. Leviness', 'Angella Mawby', 'Claudette Mawby', 'Claudine Mawby', 'Charlotte Merriam', 'Joyce Murray', 'Blanche Payson', 'Alice Pitman', 'Jed Prouty', 'Marshall Ruth', 'Bill Seckler', 'Kenneth Thomson', 'Diana Verne', 'Dorothy Vernon', 'Alice Weaver', 'Dorothy Coonan Wellman']",['Metro-Goldwyn-Mayer'],https://letterboxd.com//film/the-broadway-melody/
The Hollywood Revue of 1929,1929,Charles Reisner,"['Music', 'Comedy']",nan,2.86,115,['USA'],English,['English'],1192,2413,90,"['Conrad Nagel', 'Jack Benny', 'John Gilbert', 'Norma Shearer', 'Joan Crawford', 'Bessie Love', 'Cliff Edwards', 'Stan Laurel', 'Oliver Hardy', 'Anita Page', 'Lorayne Brox', 'Bobbe Brox', 'Patricia Brox', 'Marion Davies', 'William Haines', 'Buster Keaton', 'Marie Dressler', 'Charles King', 'Polly Moran', 'Gus Edwards', 'Karl Dane', 'George K. Arthur', 'Gwen Lee', 'Albertina Rasch', 'Arthur Lange', 'Lionel Barrymore', 'Ann Dvorak', 'June Purcell']",['Metro-Goldwyn-Mayer'],https://letterboxd.com//film/the-hollywood-revue-of-1929/
In Old Arizona,1928,"Raoul Walsh, Irving Cummings","['Western', 'Action']",nan,2.88,95,['USA'],English,"['English', 'Italian', 'Spanish']",1239,3082,88,"['Warner Baxter', 'Edmund Lowe', 'Dorothy Burgess', 'Henry Armetta', 'James Bradbury Jr.', 'Joe Brown', 'Frank Campeau', 'Alphonse Ethier', 'John Webb Dillion', 'Jim Farley', 'Soledad Jiménez', 'Ivan Linow', 'Tom London', 'Helen Lynch', 'J. Farrell MacDonald', 'Evelyn Selbie']",['Fox Film Corporation'],https://letterboxd.com//film/in-old-arizona/
The Patriot,1928,Ernst Lubitsch,['Drama'],nan,nan,113,[],English,['English'],308,2295,30,"['Emil Jannings', 'Florence Vidor', 'Lewis Stone', 'Vera Voronina', 'Neil Hamilton', 'Harry Cording']",[],https://letterboxd.com//film/the-patriot-1928/
All Quiet on the Western Front,1930,Lewis Milestone,"['Drama', 'War']",5,4.12,134,['USA'],English,"['English', 'German', 'French', 'Latin']",60585,34722,14230,"['Louis Wolheim', 'Lew Ayres', 'John Wray', 'Arnold Lucy', 'Ben Alexander', 'Scott Kolk', 'Owen Davis Jr.', 'Walter Rogers', 'William Bakewell', 'Russell Gleason', 'Richard Alexander', 'Harold Goodwin', 'Slim Summerville', 'G. Pat Collins', 'Beryl Mercer', 'Edmund Breese', 'Ernie Adams', 'Marion Clayton Anderson', 'Poupée Andriot', 'Vince Barnett', 'Daisy Belmore', 'Glen Boles', 'Heinie Conklin', ""Yola d'Avril"", 'Renée Damonde', 'Arthur Gardner', 'Raymond Griffith', 'Ellen Hall', 'William Irving', 'Frederick Kohner', 'Frank Leichtfried', 'Tom London', 'Bertha Mann', 'Joan Marsh', 'Edwin Maxwell', 'Jack McHugh', 'Maurice Murphy', 'Robert Parrish', 'Bodil Rosing', 'Wolfgang Staudte', 'Jack Sutherland', 'David Tyrell', 'Dorothy Vernon', 'Fred Zinnemann']",['Universal Pictures'],https://letterboxd.com//film/all-quiet-on-the-western-front/
The Big House,1930,George W. Hill,"['Drama', 'Crime']",nan,3.43,87,['USA'],English,['English'],2210,3582,376,"['Chester Morris', 'Wallace Beery', 'Lewis Stone', 'Robert Montgomery', 'Leila Hyams', 'George F. Marion', 'J. C. Nugent', 'Karl Dane', 'DeWitt Jennings', 'Matthew Betz', 'Claire McDowell', ""Robert Emmett O'Connor"", 'Tom Wilson', 'Eddie Foyer', 'Roscoe Ates', 'Fletcher Norton', 'Noah Beery Jr.', 'Chris-Pin Martin', 'Louis Natheaux', 'Herbert Prior', 'Harry Wilson']","['Metro-Goldwyn-Mayer', 'Cosmopolitan Productions']",https://letterboxd.com//film/the-big-house/
