Film_title,Release_year,Director,Genres,Owner_rating,Average_rating,Runtime,Countries,Original_Language,Spoken_Languages,Watches,List_Appearances,Likes,Cast,Studios,Letterboxd URL
Club Zero,2023,Jessica Hausner,"['Drama', 'Thriller']",nan,3.03,110,"['Austria', 'Denmark', 'France', 'Germany', 'Turkey', 'UK']",English,['English'],4866,2771,682,"['Mia Wasikowska', 'Sidse Babett Knudsen', 'Amir El-Masry', 'Elsa Zylberstein', 'Mathieu Demy', 'Ksenia Devriendt', 'Luke Barker', 'Florence Baker', 'Samuel D Anderson', 'Gwen Currant', 'Amanda Lawrence', 'Sam Hoare', 'Camilla Rutherford', 'Keeley Forsyth', 'Lukas Turtur', 'Isabel Lamers', 'Andrei Hozoc', ""Laoisha O'Callaghan"", 'Sade McNichols-Thomas', 'Szandra Asztalos', 'Rebecca Crankshaw']","['Coop 99 Filmproduktion', 'Essential Filmproduktion', 'Coproduction Office', 'Société Parisienne de Production', 'Paloma Productions', 'Club Zero Ltd.', 'BBC Film']",https://letterboxd.com//film/club-zero/
The Zone of Interest,2023,Jonathan Glazer,"['Drama', 'War']",nan,4.06,105,"['Poland', 'UK', 'USA']",English,"['English', 'Polish', 'German', 'Yiddish']",12916,18228,4087,"['Christian Friedel', 'Sandra Hüller', 'Medusa Knopf', 'Daniel Holzberg', 'Ralph Herforth', 'Maximilian Beck', 'Sascha Maaz', 'Wolfgang Lampl', 'Johann Karthaus', 'Freya Kreutzkam', 'Lilli Falk', 'Nele Ahrensmeier', 'Stephanie Petrowitz', 'Marie Rosa Tietjen']","['A24', 'Film4 Productions', 'Access Entertainment', 'PISF', 'JW Films', 'Extreme Emotions']",https://letterboxd.com//film/the-zone-of-interest/
Fallen Leaves,2023,Aki Kaurismäki,"['Romance', 'Drama', 'Comedy']",4,3.83,81,"['Finland', 'Germany']",Finnish,"['Finnish', 'Arabic']",33615,13205,11643,"['Alma Pöysti', 'Jussi Vatanen', 'Janne Hyytiäinen', 'Nuppu Koivu', 'Alina Tomnikov', 'Martti Suosalo', 'Matti Onnismaa', 'Sakari Kuosmanen', 'Simon Al-Bazoon', 'Maria Heiskanen', 'Sherwan Haji', 'Mia Snellman', 'Eero Ritala', 'Mikko Mykkänen', 'Aapo Penttilä', 'Mitja Tuurala', 'Leo Laitinen', 'Jaakko Ranta', 'Heikki Rautiainen', 'Viljami Penttilä', 'Jari Tuomola', 'Lauri Untamo', 'Erkki Astala', 'Jukka Salmi', 'Jaska Väre', 'Misha Jaari', 'Olli Varja', 'Jukka Rautiainen', 'Paula Oinonen', 'Kaisa Karjalainen', 'Anna Karjalainen', 'Alma-koira', 'Juho Kuosmanen', 'Eeva-Riitta Salmelin']","['Sputnik', 'Bufo', 'Pandora Film']",https://letterboxd.com//film/fallen-leaves-2023/
Four Daughters,2023,Kaouther Ben Hania,"['Drama', 'Documentary']",nan,3.9,107,"['France', 'Germany', 'Saudi Arabia', 'Tunisia']",Arabic,['Arabic'],5576,3703,1834,"['Hend Sabry', 'Nour Karoui', 'Ichraq Matar', 'Majd Mastoura', 'Olfa Hamrouni', 'Eya Chikahoui', 'Tayssir Chikhaoui']","['Tanit Films', 'Cinétéléfilms', 'Twenty Twenty Vision Filmproduktion', 'Red Sea Fund', 'ZDF/Arte']",https://letterboxd.com//film/four-daughters-2023/
Asteroid City,2023,Wes Anderson,"['Drama', 'Comedy']",3.5,3.57,105,['USA'],English,['English'],620735,148041,192421,"['Jason Schwartzman', 'Scarlett Johansson', 'Tom Hanks', 'Jeffrey Wright', 'Tilda Swinton', 'Bryan Cranston', 'Edward Norton', 'Adrien Brody', 'Liev Schreiber', 'Hope Davis', 'Steve Park', 'Rupert Friend', 'Maya Hawke', 'Steve Carell', 'Matt Dillon', 'Willem Dafoe', 'Tony Revolori', 'Jake Ryan', 'Grace Edwards', 'Aristou Meehan', 'Sophia Lillis', 'Ethan Josh Lee', 'Ella Faris', 'Gracie Faris', 'Willan Faris', 'Deanna Dunagan', 'Vandi Clark', 'Pedro Placer', 'Iván López', 'Aaron Ziobrowski', 'Celia Bermejo', 'Zoe Bernard', 'Brayden Frasure', 'Preston Mota', 'Kyleigh Fuller', 'Henry Rhoades', 'Jack Eyman', 'Willa Skye', 'Annalise Mackulin', 'Calhoun Metcalf', 'Seu Jorge', 'Jarvis Cocker', 'Pere Mallén', ""Jean-Yves Lozac'h"", 'Damien Bonnard', 'Ramón Ródenas', 'Wendy Nottingham', 'Bob Balaban', 'Fisher Stevens', 'Mike Maggart', 'Elvira Arce', 'Nicolas Avinée', 'Mohamed Belhadjine', 'Katy Heffernan-Smith', 'Jeff Goldblum', 'Hong Chau', 'Paul Kynman', 'Sam Marra', 'Rita Wilson', 'Ara Hollyday', 'Kenneth Bate', 'Christian Bate', 'Margot Robbie', 'Sandy Hamilton', 'Roberto Moreno de Matias', 'Francisco Serrano', 'Francisco Javier Gomez', 'Jacinto Domingo Torija', 'Alvaro Olivas Marques', 'Dominique Fouassier', 'Pablo Amoros', 'Yann Tremblay', 'Sébastien Fouassier', 'Carlos Arimón', 'Antonio Graziano', 'Nuria Gigorro', 'Raquel Jiménez Martinez', 'Jorge Francisco Mena Garcia', 'Ana Isabel Comendador Martínez', 'Carlos Saez', 'Karine Niederman', 'Jesús Olivas Santos', 'Jose Luis Figueroa', 'Pascale Coppola', 'Matilda Clarke', 'Milagros Ahijon', 'Paula Domingo', 'Crístian García Jiménez', 'Junior Harris', 'Robert Tattam', 'Eusebio Mateo Diaz', 'Stéphane Bak', 'Tom Hudson', 'Rodolphe Pauly', 'Aimee Mullins', 'Valérie Sadoun', 'Erica Dorn', 'Julia Kruger', 'Anisse Elias', 'Rebecca Cornford', 'Avery Looser', 'Guy Trevellyan', 'Truman Hanks', 'Honor Northridge', 'Eliel Ford', 'Caris Yeoman', 'Yann Pozzoli', 'Sonia Gascón', 'Mariam Huélamo', 'Timothy Cordukes', 'Carmen Méndez', 'Ainhoa Aldanondo', 'Marta Rubio', 'Marcos Pereiro', 'Susana Hornos', 'Alicia San Lorenzo', 'Palmira Ferrer', 'Jose Antonio Turiégano Carrasco', 'Pilar Ramírez Escalona', 'Virginia Romano Álvarez', 'Milagros Reyeros Ruiz', 'Jonatan Buitrago Díaz', 'Ricardo Mohedas Tiñana', 'Carlos Arroyo', 'Ismael González Carrasco', 'Celedonio Guijarro Cano', 'Juan Abad Molina', 'Patricia Colin', 'Elena Uriz', 'Jose Segovia Ortiz', 'Enrique Ruiz Granado', 'Juan Carlos Iglesias Gómez', 'Oscar Minguez Garcia-Patron', 'Guillermo García', 'David Navarro Romero', 'Javier Gigorro de las Peñas', 'Alejandro García Aparicio', 'Diego Maldonado Davila', 'David Rodríguez Moreno', 'Mario Perez Lomas', 'Alejandro Urbina Escalona', 'David Verdejo Escribano', 'Adrián Corpa Fernández', 'Jesús Jiménez Caler', 'Francisco Corrales Rubio', 'Sergio Martinez Martinez', 'Félix Israel Pinilla de la Guia', 'Jay Lau', 'Mario Turiégano Delgado', 'Pedro Padilla Perez', 'Randall Poster', 'Matthew Frasure', 'Chris Faris', 'Erika Godwin', 'Sara Greisberg', 'Manuela Martinez Zafra', 'Juana Andueza']","['American Empirical Pictures', 'Indian Paintbrush', 'Universal Pictures']",https://letterboxd.com//film/asteroid-city/
Anatomy of a Fall,2023,Justine Triet,"['Thriller', 'Mystery', 'Drama', 'Crime']",4.5,4.18,152,['France'],French,"['French', 'German', 'English']",138004,47503,49814,"['Sandra Hüller', 'Swann Arlaud', 'Milo Machado-Graner', 'Antoine Reinartz', 'Saadia Bentaïeb', 'Jehnny Beth', 'Samuel Theis', 'Camille Rutherford', 'Anne Rotger', 'Sophie Fillières', 'Arthur Harari', 'Pierre-François Garel', 'Savannah Rol']","['Les Films de Pierre', 'Les Films Pelléas', 'France 2 Cinéma', 'Auvergne-Rhône-Alpes Cinéma', 'Canal+', 'Ciné+', 'France Télévisions', 'CNC', 'Région Nouvelle-Aquitaine', 'Région Auvergne-Rhône-Alpes', 'ARTE/Cofinova 18', 'Le Pacte', 'Cinémage 16']",https://letterboxd.com//film/anatomy-of-a-fall/
Monster,2023,Hirokazu Kore-eda,"['Thriller', 'Drama']",nan,4.18,125,['Japan'],Japanese,['Japanese'],25457,13246,11172,"['Sakura Ando', 'Eita Nagayama', 'Soya Kurokawa', 'Hinata Hiiragi', 'Yuko Tanaka', 'Mitsuki Takahata', 'Akihiro Kakuta', 'Shido Nakamura']","['TOHO', 'Fuji Television Network', 'AOI Pro.', 'BUN-BUKU', 'GAGA Corporation']",https://letterboxd.com//film/monster-2023/
A Brighter Tomorrow,2023,Nanni Moretti,['Comedy'],3,3.45,96,"['France', 'Italy']",Italian,"['Italian', 'English', 'French', 'Korean', 'Hungarian']",14390,3463,3921,"['Nanni Moretti', 'Margherita Buy', 'Silvio Orlando', 'Barbora Bobuľová', 'Mathieu Amalric', 'Jerzy Stuhr', 'Anger Zsolt', 'Teco Celio', 'Valentina Romani', 'Flavio Furno', 'Giuseppe Scoditti', 'Valerio Da Silva', 'Angelo Galdi', 'Arianna Pozzoli', 'Francesco Brandi', 'Laura Nardi', 'Arianna Serrao', 'Blu Yoshimi', 'Michele Eburnea', 'Elena Lietti', 'Benjamin Stender', 'Francesco Rossini', 'Federica Sandrini', 'Carolina Pavone', 'Corrado Augias', 'Renzo Piano', 'Chiara Valerio', 'Enrico Cerretti', 'Simone Proietti', 'Giulia Lazzarini', 'Alba Rohrwacher', 'Jasmine Trinca', 'Lina Sastri', 'Anna Bonaiuto', 'Renato Carpentieri', 'Dario Cantarelli', 'Rosario Lisma', 'Beniamino Marcone', 'Fabio Traversa', 'Mariella Valentini', 'Elio De Capitani', 'Claudio Morganti', 'Gigio Morra', 'Silvia Nono']","['Sacher Film', 'Fandango', 'RAI Cinema', 'Le Pacte', 'France 3 Cinéma', 'Canal+', 'Ciné+', 'France Télévisions', 'Kinology']",https://letterboxd.com//film/a-brighter-tomorrow-2023/
Last Summer,2023,Catherine Breillat,['Drama'],nan,3.27,104,"['France', 'Norway']",French,['French'],5213,3018,968,"['Léa Drucker', 'Samuel Kircher', 'Olivier Rabourdin', 'Clotilde Courau', 'Serena Hu', 'Angela Chen', 'Karim Achoui', 'Lila-Rose Gilberti', 'Valérie Schlumberger', 'Jérôme Kircher']","['SBS Productions', 'Globalgate Entertainment', 'Nordisk Film Norway']",https://letterboxd.com//film/last-summer-2023/
About Dry Grasses,2023,Nuri Bilge Ceylan,['Drama'],nan,3.91,197,"['France', 'Germany', 'Sweden', 'Turkey']",Turkish,['Turkish'],19266,6390,5175,"['Deniz Celiloğlu', 'Merve Dizdar', 'Musab Ekici', 'Ece Bağcı', 'Erdem Şenocak', 'Yüksel Aksu', 'Münir Can Cindoruk', 'Onur Berk Arslanoğlu', 'Yıldırım Gücük', 'Cengiz Bozkurt', 'S. Emrah Özdemir', 'Elif Ürse', 'Elit Andaç Çam', 'Nalan Kuruçim', 'Ferhat Akgün', 'Eylem Canpolat']","['NBC Film', 'Memento Films Production', 'Komplizen Film', 'Second Land', 'Film i Väst', 'ARTE France Cinéma', 'BR', 'Playtime', 'TRT Sinema']",https://letterboxd.com//film/about-dry-grasses/
