Film_title,Release_year,Director,Genres,Owner_rating,Average_rating,Runtime,Countries,Original_Language,Spoken_Languages,Watches,List_Appearances,Likes,Cast,Studios,Letterboxd URL
Cici,2022,Berkun Oya,['Drama'],4,3.42,151,['Turkey'],Turkish,['Turkish'],8279,807,1003,"['Ayça Bingöl', 'Okan Yalabık', 'Fatih Artman', 'Funda Eryiğit', 'Nur Sürer', 'Olgun Şimşek', 'Yılmaz Erdoğan', 'İncinur Daşdemir', 'Şevval Balkan', 'Muttalip Müjdeci', 'Tansu Biçer', 'Aslı Işık', 'Çağla Naz Kargı', 'Artun Can Salman', 'Bartu Mutlu', 'Ali Buğra Bıyıkçı']",['Krek Film'],https://letterboxd.com//film/cici-2022/
The Banshees of Inisherin,2022,Martin McDonagh,"['Comedy', 'Drama']",4,4.1,114,"['Ireland', 'UK', 'USA']",English,['English'],860718,196434,316371,"['Colin Farrell', 'Brendan Gleeson', 'Kerry Condon', 'Barry Keoghan', 'Gary Lydon', 'Pat Shortt', 'Jon Kenny', 'Sheila Flitton', 'David Pearse', 'Bríd Ní Neachtain', 'Aaron Monaghan', 'Lasairfhíona Ní Chonaola', 'James Carty', 'Conor Connolly', 'Ryan Owens', 'John Carty', 'Oliver Farrelly']","['Searchlight Pictures', 'Blueprint Pictures', 'Film4 Productions', 'Metropolitan Films International', 'TSG Entertainment']",https://letterboxd.com//film/the-banshees-of-inisherin/
EO,2022,Jerzy Skolimowski,['Drama'],3,3.56,88,"['Italy', 'Poland']",Polish,"['Polish', 'English', 'French', 'Italian']",77467,29963,20366,"['Sandra Drzymalska', 'Isabelle Huppert', 'Lorenzo Zurzolo', 'Mateusz Kościukiewicz', 'Tomasz Organek', 'Lolita Chammah', 'Agata Sasinowska', 'Anna Rokita', 'Michał Przybysławski', 'Gloria Iradukunda', 'Piotr Szaja', 'Aleksander Janiszewski', 'Delfina Wilkońska', 'Andrzej Szeremeta', 'Wojciech Andrzejuk', 'Mateusz Murański', 'Marcin Drabicki', 'Maciej Stępniak', 'Fernando Junior Gomes da Silva', 'Krzysztof Karczmarz', 'Waldemar Barwiński', 'Saverio Fabbri', 'Katarzyna Russ', 'Kateřina Holánová']","['Skopia Film', 'Alien Films', 'HAKA Films', 'Moderator Inwestycje', 'PISF', 'MiC', 'Regione Lazio']",https://letterboxd.com//film/eo/
Brother's Keeper,2021,Ferit Karahan,['Drama'],3.5,3.68,85,"['Romania', 'Turkey']",Turkish,"['Turkish', 'Kurdish']",10014,1841,2096,"['Ekin Koç', 'Mahir İpek', 'Cansu Fırıncı', 'Melih Selçuk', 'Münir Can Cindoruk', 'Samet Yıldız', 'Nurullah Alaca', 'Dilan Parlak', 'Nedim Salman', 'Ertan Gül', 'Ümit Bayram', 'Mustafa Halli', 'Ferit Karahan', 'Sıddık Salaz', 'Hamdullah Arvas', 'Ekin Bulut']","['Asteros Film', 'Flama Booking']",https://letterboxd.com//film/brothers-keeper-2021/
Ethos,2020,Berkun Oya,"['Drama', 'Mystery']",4.5,4.07,392,['Turkey'],Turkish,"['Turkish', 'Kurdish']",25716,968,4049,"['Öykü Karayel', 'Funda Eryiğit', 'Fatih Artman', 'Defne Kayalar', 'Tülin Özen', 'Alican Yücesoy', 'Settar Tanrıöğen']",['Krek Film'],https://letterboxd.com//film/ethos-2020/
La Belle Époque,2019,Nicolas Bedos,"['Drama', 'Comedy']",4.5,3.77,110,['France'],French,"['French', 'English']",26772,4808,7203,"['Daniel Auteuil', 'Guillaume Canet', 'Doria Tillier', 'Fanny Ardant', 'Pierre Arditi', 'Denis Podalydès', 'Michaël Cohen', 'Jeanne Arènes', 'Bertrand Poncet', 'Bruno Raffaelli', 'Lizzie Brocheré', 'Thomas Scimeca', 'Christiane Millet', 'Cédric Zimmerlin', 'François Vincentelli', 'Claude Aufaure', 'Sandrine Moaligou', 'Pierre Forest', 'Frédéric Sandeau', 'Jean-Noël Martin', 'Loïc Lacoua', 'Constance Gay', 'Maria Verdi', 'Clément Moreau', 'Éric Frey', 'Urbain Cancelier', 'Élisabeth Vitali', 'Laetitia de Fombelle', 'Lucie Bertin', 'Yann Chermat', 'Pierre Estorges', 'Yves-Batek Mendy', 'Gaël Tavares', 'Abraham Touré', 'Soufiane Abitar', 'Hakou Benosmane', 'Adrien Ruiz', 'Wilhem Mahtallah', 'Niki Zischka', 'Jürgen Zwingel', 'Benjamin Guillard', 'Elisabeth Duda', 'Santha Leng', 'Yamina Meghraoui', 'Laurent Marion', 'Sébastien Corona', 'Hugues Martel', 'Franck Mercadal', 'Valérie de Monza', 'Claire Barbotin', 'Mila Ayache', 'Bertrand Combe', 'Anne Aor', 'Sophie-Marie Larrouy', 'Evelyne Bonneau', 'Dimitri Leroy', 'Tobias Licht', 'Mélina Ferné', 'Fabien Cahen', 'Eric Cornet', 'Tam Ara', 'Arnaud de Montlivault', 'Emmanuel Ménard']","['Les Films du Kiosque', 'Pathé', 'Orange Studio', 'France 2 Cinéma', 'uMedia', 'Hugar Prod']",https://letterboxd.com//film/la-belle-epoque-2019/
"Love, Simon",2018,Greg Berlanti,"['Romance', 'Comedy', 'Drama']",3.5,3.3,110,['USA'],English,['English'],585710,66051,119604,"['Nick Robinson', 'Jennifer Garner', 'Josh Duhamel', 'Katherine Langford', 'Alexandra Shipp', 'Logan Miller', 'Keiynan Lonsdale', 'Jorge Lendeborg Jr.', 'Talitha Bateman', 'Tony Hale', 'Natasha Rothwell', 'Miles Heizer', 'Joey Pollari', 'Clark Moore', 'Drew Starkey', 'Mackenzie Lintz', 'Cassady McClincy', 'Alex Sgambati', 'Jamila Thompson', 'Emily Jordan', 'Patrick Donohue', 'Terayle Hill', 'Tyler Chase', 'Haroon Khan', 'Joshua Mikel', 'Nicholas Stargel', 'Nancy De Mayo', 'Christian Ojore Mayfield', 'Chantell D. Christopher', 'Mandy Fason', 'Philip Covin', 'Campbell Godfrey', 'Robbie Rogers', 'Christopher L. Plunkett', 'Jessi Peralta', 'Carsen Rowe', 'Jonathan Fritschi', 'Matthew Laraway', 'Dylan Cheek', 'Jaidi Ventura', 'Danni Heverin', 'David Copeland Brown Jr.', 'Bryson Pitts', 'Nye Reynolds', 'Skye Mowbray', 'Samantha Bulka', 'Baz Ma', 'Natalia Tureta', 'Briana Estevez', 'Jönah-Blainé Bowling', ""Sean O'Donnell"", 'Collin McHugh', 'Abigail Houck', 'Jodi Houck', 'Josh Royston', 'Tyson Love']","['Temple Hill Entertainment', 'Fox 2000 Pictures', 'New Leaf Literary & Media', '20th Century Fox', 'Twisted Media']",https://letterboxd.com//film/love-simon/
Project X,2012,Nima Nourizadeh,['Comedy'],3,3.13,88,['USA'],English,['English'],435854,32514,80831,"['Thomas Mann', 'Oliver Cooper', 'Jonathan Daniel Brown', 'Dax Flame', 'Kirby Bliss Blanton', 'Brady Hender', 'Nick Nervies', 'Alexis Knapp', 'Miles Teller', 'Peter MacKenzie', 'Caitlin Dulany', 'Rob Evors', 'Rick Shapiro', 'Martin Klebba', 'Pete Gardner', 'Nichole Sakura', 'Sam Lant', 'Henry Michaelson', 'Brendan Miller', 'Brent Tarnol', 'Kyle Kwasnick', 'David Sanchez', 'Ayydé Vargas', 'Chelsea Carbaugh-Rutland', 'Zach Lasry', 'Michael C. Stretton', 'Andrew Harbour', 'Allan Chanes', 'Holden Morse', 'Raz Mataz', 'Briana Mari Wilde', 'Jarod Einsohn', 'Chet Hanks', 'Julian Evans', 'Jesse Marco', 'Chic Daniels', 'Kevin Dunigan', 'Colleen Flynn', 'Sophia Santi', 'Jodi Harris', 'Frank Buckley', 'Serene Branson', 'Robb Reesman', 'Kevin Ryder', 'Gene Baxter', 'Big Boy', 'Jimmy Kimmel', 'Jillian Warry Barberie', 'Ciara Hanna', 'Catherine Lidstone', 'Patrick Phan', 'Shawn Turner']","['Silver Pictures', 'Green Hat Films']",https://letterboxd.com//film/project-x-2012/
Amour,2012,Michael Haneke,"['Drama', 'Romance']",5,4.21,127,"['France', 'Austria', 'Germany']",French,['French'],143677,52377,39422,"['Jean-Louis Trintignant', 'Emmanuelle Riva', 'Isabelle Huppert', 'Alexandre Tharaud', 'William Shimell', 'Ramon Agirre', 'Rita Blanco', 'Carole Franck', 'Dinara Drukarova', 'Laurent Capelluto', 'Jean-Michel Monroc', 'Suzanne Schmidt', 'Damien Jouillerot', 'Walid Afkir']","['wega film vienna', 'Les Films du Losange', 'X Filme Creative Pool']",https://letterboxd.com//film/amour/
Kes,1969,Ken Loach,['Drama'],4.5,4.18,111,['UK'],English,['English'],41950,24396,12649,"['David Bradley', 'Freddie Fletcher', 'Lynne Perrie', 'Colin Welland', 'Brian Glover', 'Bob Bowes', 'Bernard Atha', 'Joey Kaye', 'Bill Dean', 'Duggie Brown', 'Harry Markham', 'Zoe Sunderland', 'Robert Naylor', 'Joe Miller', 'Eric Bolderson', 'George Speed', 'Trevor Hesketh', 'Geoffrey Banks', 'David Glover']","['Woodfall Film Productions', 'Kestrel Films Ltd.', 'United Artists']",https://letterboxd.com//film/kes/
